idx,gr_name,img_name,snowflake_class_name,shape,snowflake_class_id,x_rot,y_rot,z_rot,A_char,proj_CH_area,CH_SA,Dmax,Dsemimin,A_cross,A_length,A_crat,A_lrat,Df,porosity,sar,sph,cross_sph,length_sph,Aeq,VCH,V,planar_crystal,aggregate,graupel,columnar_crystal,combo
11,gr2_11,gr2_BW_11,graupel,sphere2,5,,,,1.41026E-06,1.41026E-06,5.64104E-06,0.00134,0.00134,1.41026E-06,1.41026E-06,1,1,1.778305386,4.00E-01,0.25,1,1,1,1.41E-06,1.26E-09,7.56E-10,0,0,1,0,0
12,gr3_12,gr3_BW_12,graupel,sphere3,5,,,,1.72034E-06,1.72034E-06,6.88134E-06,0.00148,0.00148,1.72034E-06,1.72034E-06,1,1,1.76719737,3.61E-01,0.25,1,1,1,1.72E-06,1.70E-09,1.08E-09,0,0,1,0,0
13,gr3_13,gr3_BW_13,graupel,sphere3,5,,,,1.72034E-06,1.72034E-06,6.88134E-06,0.00148,0.00148,1.72034E-06,1.72034E-06,1,1,1.785047849,3.61E-01,0.25,1,1,1,1.72E-06,1.70E-09,1.08E-09,0,0,1,0,0
14,gr3_14,gr3_BW_14,graupel,sphere3,5,,,,1.72034E-06,1.72034E-06,6.88134E-06,0.00148,0.00148,1.72034E-06,1.72034E-06,1,1,1.786958886,3.61E-01,0.25,1,1,1,1.72E-06,1.70E-09,1.08E-09,0,0,1,0,0
15,gr3_15,gr3_BW_15,graupel,sphere3,5,,,,1.72034E-06,1.72034E-06,6.88134E-06,0.00148,0.00148,1.72034E-06,1.72034E-06,1,1,1.788160484,3.61E-01,0.25,1,1,1,1.72E-06,1.70E-09,1.08E-09,0,0,1,0,0
16,gr3_16,gr3_BW_16,graupel,sphere3,5,,,,1.72034E-06,1.72034E-06,6.88134E-06,0.00148,0.00148,1.72034E-06,1.72034E-06,1,1,1.780704899,3.61E-01,0.25,1,1,1,1.72E-06,1.70E-09,1.08E-09,0,0,1,0,0
17,gr3_17,gr3_BW_17,graupel,sphere3,5,,,,1.72034E-06,1.72034E-06,6.88134E-06,0.00148,0.00148,1.72034E-06,1.72034E-06,1,1,1.782182882,3.61E-01,0.25,1,1,1,1.72E-06,1.70E-09,1.08E-09,0,0,1,0,0
18,gr4_18,gr4_BW_18,graupel,ellipse1,5,0,0,0,1.02E-06,1.02E-06,3.79E-06,1.30E-03,1.00E-03,1.02E-06,8.92E-07,1,0.873709282,1.778585249,1.53E-01,2.70E-01,9.88E-01,9.16E-01,9.35E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
19,gr4_19,gr4_BW_19,graupel,ellipse1,5,0,15,0,9.98E-07,9.98E-07,3.79E-06,,,1.02E-06,8.92E-07,1.023179714,0.893961613,1.800155358,1.53E-01,2.64E-01,9.88E-01,9.16E-01,9.35E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
20,gr4_20,gr4_BW_20,graupel,ellipse1,5,0,30,0,9.40E-07,9.40E-07,3.79E-06,,,1.02E-06,8.92E-07,1.086349197,0.949153376,1.772595715,1.53E-01,2.48E-01,9.88E-01,9.16E-01,9.35E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
21,gr4_21,gr4_BW_21,graupel,ellipse1,5,0,45,0,8.78E-07,8.78E-07,3.79E-06,,,1.02E-06,8.92E-07,1.162673359,1.015838505,1.766001449,1.53E-01,2.32E-01,9.88E-01,9.16E-01,9.35E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
22,gr4_22,gr4_BW_22,graupel,ellipse1,5,0,60,0,8.27E-07,8.27E-07,3.79E-06,,,1.02E-06,8.92E-07,1.234362027,1.07847356,1.794800162,1.53E-01,2.19E-01,9.88E-01,9.16E-01,9.35E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
23,gr4_23,gr4_BW_23,graupel,ellipse1,5,0,75,0,7.95E-07,7.95E-07,3.79E-06,,,1.02E-06,8.92E-07,1.284065423,1.121899878,1.788160896,1.53E-01,2.10E-01,9.88E-01,9.16E-01,9.35E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
24,gr4_24,gr4_BW_24,graupel,ellipse1,5,0,90,0,7.85E-07,7.85E-07,3.79E-06,,,1.02E-06,8.92E-07,1.300209501,1.13600511,1.759739084,1.53E-01,2.07E-01,9.88E-01,9.16E-01,9.35E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
25,gr4_25,gr4_BW_25,graupel,ellipse1,5,0,0,30,1.02E-06,1.02E-06,3.79E-06,,,9.66E-07,9.34E-07,0.94679396,0.915431373,1.756213925,1.53E-01,2.70E-01,9.88E-01,9.68E-01,9.76E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
26,gr4_26,gr4_BW_26,graupel,ellipse1,5,0,15,30,1.01E-06,1.01E-06,3.79E-06,,,9.66E-07,9.34E-07,0.954615766,0.922994081,1.756546206,1.53E-01,2.67E-01,9.88E-01,9.68E-01,9.76E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
27,gr4_27,gr4_BW_27,graupel,ellipse1,5,0,30,30,9.81E-07,9.81E-07,3.79E-06,,,9.66E-07,9.34E-07,0.984709723,0.952091174,1.742246626,1.53E-01,2.59E-01,9.88E-01,9.68E-01,9.76E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
28,gr4_28,gr4_BW_28,graupel,ellipse1,5,0,45,30,9.37E-07,9.37E-07,3.79E-06,,,9.66E-07,9.34E-07,1.030707004,0.996564794,1.766255578,1.53E-01,2.48E-01,9.88E-01,9.68E-01,9.76E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
29,gr4_29,gr4_BW_29,graupel,ellipse1,5,0,60,30,8.91E-07,8.91E-07,3.79E-06,,,9.66E-07,9.34E-07,1.084761637,1.048828865,1.756123177,1.53E-01,2.35E-01,9.88E-01,9.68E-01,9.76E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
30,gr4_30,gr4_BW_30,graupel,ellipse1,5,0,75,30,8.53E-07,8.53E-07,3.79E-06,,,9.66E-07,9.34E-07,1.132570905,1.095054449,1.79257072,1.53E-01,2.25E-01,9.88E-01,9.68E-01,9.76E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
31,gr4_31,gr4_BW_31,graupel,ellipse1,5,0,90,30,8.44E-07,8.44E-07,3.79E-06,,,9.66E-07,9.34E-07,1.144370497,1.106463179,1.750008415,1.53E-01,2.23E-01,9.88E-01,9.68E-01,9.76E-01,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
32,gr4_32,gr4_BW_32,graupel,ellipse1,5,0,0,60,1.02E-06,1.02E-06,3.79E-06,,,8.44E-07,9.94E-07,0.827282278,0.973638407,1.737115524,1.53E-01,2.70E-01,9.88E-01,1.11E+00,1.04E+00,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
33,gr4_33,gr4_BW_33,graupel,ellipse1,5,0,15,60,1.02E-06,1.02E-06,3.79E-06,,,8.44E-07,9.94E-07,0.830208314,0.977082093,1.733788486,1.53E-01,2.69E-01,9.88E-01,1.11E+00,1.04E+00,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
34,gr4_34,gr4_BW_34,graupel,ellipse1,5,0,30,60,1.01E-06,1.01E-06,3.79E-06,,,8.44E-07,9.94E-07,0.83832735,0.986637483,1.741815028,1.53E-01,2.66E-01,9.88E-01,1.11E+00,1.04E+00,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
35,gr4_35,gr4_BW_35,graupel,ellipse1,5,0,45,60,9.94E-07,9.94E-07,3.79E-06,,,8.44E-07,9.94E-07,0.849179741,0.999409793,1.733216271,1.53E-01,2.63E-01,9.88E-01,1.11E+00,1.04E+00,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
36,gr4_36,gr4_BW_36,graupel,ellipse1,5,0,60,60,9.81E-07,9.81E-07,3.79E-06,,,8.44E-07,9.94E-07,0.860885991,1.013187018,1.734541714,1.53E-01,2.59E-01,9.88E-01,1.11E+00,1.04E+00,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
37,gr4_37,gr4_BW_37,graupel,ellipse1,5,0,75,60,9.70E-07,9.70E-07,3.79E-06,,,8.44E-07,9.94E-07,0.870532637,1.024540271,1.752642886,1.53E-01,2.56E-01,9.88E-01,1.11E+00,1.04E+00,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
38,gr4_38,gr4_BW_38,graupel,ellipse1,5,0,90,60,9.66E-07,9.66E-07,3.79E-06,,,8.44E-07,9.94E-07,0.873885222,1.028485968,1.748735877,1.53E-01,2.55E-01,9.88E-01,1.11E+00,1.04E+00,9.36E-07,6.81E-10,5.76E-10,0,0,1,0,0
39,gr_1,gr_BW_1,graupel,sphere,5,,,,,,,,,,,1,1,1.781298511,0.01,0.25,1,1,1,,,,0,0,1,0,0
