idx,img_name,snowflake_class_name,snowflake_class_id,x_rot,y_rot,z_rot,Df,plane_diam,plane_depth,A_char,proj_CH_area,CH_SA,Dmax,Dsemimin,alpha,est_Achar,est_%err,Aproj_rat,beta,A_cross,A_length,A_crat,A_lrat,porosity,sar,sph,cross_sph,length_sph,Aeq,VCH,planar_crystal,aggregate,graupel,columnar_crystal,combo
11,hex_BW_11.png,planar_crystal,3,30,30,0,1.792279061,0.001,4.00E-05,6.50E-07,5.12E-07,1.42E-06,0.00098327,0.000691,45.33982561,7.28E-07,1.21E+01,7.88E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
12,hex_BW_12.png,planar_crystal,3,30,45,0,1.796122051,0.001,4.00E-05,6.50E-07,4.24E-07,1.42E-06,0.00094516,0.000597,50.79130205,6.71E-07,3.19E+00,6.52E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
13,hex_BW_13.png,planar_crystal,3,30,60,0,1.826899619,0.001,4.00E-05,6.50E-07,3.16E-07,1.42E-06,0.00097338,0.000423,64.21864797,7.27E-07,1.18E+01,4.86E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
14,hex_BW_14.png,planar_crystal,3,30,75,0,1.879278177,0.001,4.00E-05,6.50E-07,1.84E-07,1.42E-06,0.000994,0.000235,76.32368277,7.78E-07,1.97E+01,2.83E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
15,hex_BW_15.png,planar_crystal,3,30,90,0,1.913975136,0.001,4.00E-05,6.50E-07,4.00E-08,1.42E-06,0.001,4.00E-05,87.70755764,1.00E-06,5.38E+01,6.15E-02,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
16,hex_BW_16.png,planar_crystal,3,15,15,0,1.770849549,0.001,4.00E-05,6.50E-07,6.20E-07,1.42E-06,0.00099889,0.000826,34.21672562,7.50E-07,1.53E+01,9.54E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
17,hex_BW_17.png,planar_crystal,3,15,30,0,1.769865075,0.001,4.00E-05,6.50E-07,5.62E-07,1.42E-06,0.000959,0.000784,35.14943806,6.87E-07,5.74E+00,8.65E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
18,hex_BW_18.png,planar_crystal,3,15,45,0,1.81850912,0.001,4.00E-05,6.50E-07,4.72E-07,1.42E-06,0.000989,0.000631,50.35948534,7.40E-07,1.38E+01,7.26E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
19,hex_BW_19.png,planar_crystal,3,15,60,0,1.844059632,0.001,4.00E-05,6.50E-07,3.48E-07,1.42E-06,0.000995,0.000457,62.64871305,7.57E-07,1.65E+01,5.35E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
20,hex_BW_20.png,planar_crystal,3,15,75,0,1.868236807,0.001,4.00E-05,6.50E-07,2.01E-07,1.42E-06,0.000999,0.000256,75.1599734,7.85E-07,2.07E+01,3.09E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
21,hex_BW_21.png,planar_crystal,3,15,90,0,1.914780636,0.001,4.00E-05,6.50E-07,4.00E-08,1.42E-06,0.001,8.01E-05,85.41166253,5.00E-07,2.31E+01,6.15E-02,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
22,hex_BW_22.png,planar_crystal,3,0,0,0,1.820341464,0.001,4.00E-05,6.50E-07,6.50E-07,1.42E-06,0.001,0.000866,30.00061922,7.51E-07,1.55E+01,1.00E+00,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
23,hex_BW_23.png,planar_crystal,3,0,15,0,1.787566644,0.001,4.00E-05,6.50E-07,6.38E-07,1.42E-06,0.001,0.00085722,30.99413693,7.44E-07,1.45E+01,9.82E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
24,hex_BW_24.png,planar_crystal,3,0,30,0,1.777068861,0.001,4.00E-05,6.50E-07,5.83E-07,1.42E-06,0.001,0.00077,39.64611115,7.57E-07,1.65E+01,8.97E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
25,hex_BW_25.png,planar_crystal,3,0,45,0,1.826645756,0.001,4.00E-05,6.50E-07,4.88E-07,1.42E-06,0.001,0.000641,50.15919459,7.62E-07,1.72E+01,7.51E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
26,hex_BW_26.png,planar_crystal,3,0,60,0,1.856219556,0.001,4.00E-05,6.50E-07,3.59E-07,1.42E-06,0.001,0.000468,62.1178981,7.68E-07,1.81E+01,5.52E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
27,hex_BW_27.png,planar_crystal,3,0,75,0,1.891305021,0.001,4.00E-05,6.50E-07,2.07E-07,1.42E-06,0.001,0.000263,74.76486489,7.88E-07,2.12E+01,3.18E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
28,hex_BW_28.png,planar_crystal,3,0,87,0,1.909700902,0.001,4.00E-05,6.50E-07,7.39E-08,1.42E-06,0.001,8.53E-05,85.1084811,8.67E-07,3.33E+01,1.14E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
29,hex_BW_29.png,planar_crystal,3,60,0,0,1.847776868,0.001,4.00E-05,6.50E-07,3.55E-07,1.42E-06,0.000912,0.000514,55.67809932,6.30E-07,3.14E+00,5.46E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
30,hex_BW_30.png,planar_crystal,3,60,11,0,1.868607399,0.001,4.00E-05,6.50E-07,3.52E-07,1.42E-06,0.000971552,0.000475,60.73659368,7.20E-07,1.08E+01,5.42E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
31,hex_BW_31.png,planar_crystal,3,60,23,0,1.865535661,0.001,4.00E-05,6.50E-07,3.34E-07,1.42E-06,0.001,0.000435,64.20738693,7.68E-07,1.81E+01,5.14E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
32,hex_BW_32.png,planar_crystal,3,60,36,0,1.868369755,0.001,4.00E-05,6.50E-07,2.99E-07,1.42E-06,0.000991,0.000392,66.71631355,7.56E-07,1.64E+01,4.60E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
33,hex_BW_33.png,planar_crystal,3,60,42,0,1.881026564,0.001,4.00E-05,6.50E-07,2.77E-07,1.42E-06,0.000971,0.00037,,,,4.26E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
34,hex_BW_34.png,planar_crystal,3,60,51,0,1.884305734,0.001,4.00E-05,6.50E-07,2.39E-07,1.42E-06,0.000923,0.000335,,,,3.68E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
35,hex_BW_35.png,planar_crystal,3,60,65,0,1.883196592,0.001,4.00E-05,6.50E-07,1.74E-07,1.42E-06,,,,,,2.68E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
36,hex_BW_36.png,planar_crystal,3,60,77,0,1.905470934,0.001,4.00E-05,6.50E-07,1.12E-07,1.42E-06,,,,,,1.72E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
37,hex_BW_37.png,planar_crystal,3,60,86,0,1.911479555,0.001,4.00E-05,6.50E-07,6.26E-08,1.42E-06,,,,,,9.63E-02,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
38,hex_BW_38.png,planar_crystal,3,72,2,0,1.865182551,0.001,4.00E-05,6.50E-07,2.34E-07,1.42E-06,,,,,,3.60E-01,,6.28E-07,1.51E-07,9.66E-01,2.32E-01,0,4.58E-01,0.299,0.169,0.19,1.06E-07,2.60E-11,1,0,0,0,0
39,hex_BW_39.png,planar_crystal,3,72,20,0,1.878306764,0.001,4.00E-05,6.50E-07,2.26E-07,1.42E-06,,,,,,3.48E-01,,6.28E-07,1.51E-07,9.66E-01,2.32E-01,0,4.58E-01,0.299,0.169,0.19,1.06E-07,2.60E-11,1,0,0,0,0
40,hex_BW_40.png,planar_crystal,3,72,40,0,1.878306764,0.001,4.00E-05,6.50E-07,1.92E-07,1.42E-06,,,,,,2.95E-01,,6.28E-07,1.51E-07,9.66E-01,2.32E-01,0,4.58E-01,0.299,0.169,0.19,1.06E-07,2.60E-11,1,0,0,0,0
41,hex_BW_41.png,planar_crystal,3,72,51,0,1.889900275,0.001,4.00E-05,6.50E-07,1.63E-07,1.42E-06,,,,,,2.51E-01,,6.28E-07,1.51E-07,9.66E-01,2.32E-01,0,4.58E-01,0.299,0.169,0.19,1.06E-07,2.60E-11,1,0,0,0,0
42,hex_BW_42.png,planar_crystal,3,72,67,0,1.898218862,0.001,4.00E-05,6.50E-07,1.15E-07,1.42E-06,,,,,,1.77E-01,,6.28E-07,1.51E-07,9.66E-01,2.32E-01,0,4.58E-01,0.299,0.169,0.19,1.06E-07,2.60E-11,1,0,0,0,0
43,hex_BW_43.png,planar_crystal,3,72,79,0,1.907285973,0.001,4.00E-05,6.50E-07,7.76E-08,1.42E-06,,,,,,1.19E-01,,6.28E-07,1.51E-07,9.66E-01,2.32E-01,0,4.58E-01,0.299,0.169,0.19,1.06E-07,2.60E-11,1,0,0,0,0
44,hex_BW_44.png,planar_crystal,3,72,88,0,1.913629306,0.001,4.00E-05,6.50E-07,4.70E-08,1.42E-06,,,,,,7.23E-02,,6.28E-07,1.51E-07,9.66E-01,2.32E-01,0,4.58E-01,0.299,0.169,0.19,1.06E-07,2.60E-11,1,0,0,0,0
45,hex_BW_45.png,planar_crystal,3,83,4,0,1.892760594,0.001,4.00E-05,6.50E-07,1.15E-07,1.42E-06,,,,,,1.77E-01,,6.49E-07,8.25E-08,9.98E-01,1.27E-01,0,4.58E-01,0.299,0.163,0.169,1.06E-07,2.60E-11,1,0,0,0,0
46,hex_BW_46.png,planar_crystal,3,83,19,0,1.902272887,0.001,4.00E-05,6.50E-07,1.14E-07,1.42E-06,,,,,,1.75E-01,,6.49E-07,8.25E-08,9.98E-01,1.27E-01,0,4.58E-01,0.299,0.163,0.169,1.06E-07,2.60E-11,1,0,0,0,0
47,hex_BW_47.png,planar_crystal,3,83,47,0,1.905398243,0.001,4.00E-05,6.50E-07,9.21E-08,1.42E-06,,,,,,1.42E-01,,6.49E-07,8.25E-08,9.98E-01,1.27E-01,0,4.58E-01,0.299,0.163,0.169,1.06E-07,2.60E-11,1,0,0,0,0
48,hex_BW_48.png,planar_crystal,3,83,62,0,1.908088669,0.001,4.00E-05,6.50E-07,7.25E-08,1.42E-06,,,,,,1.12E-01,,6.49E-07,8.25E-08,9.98E-01,1.27E-01,0,4.58E-01,0.299,0.163,0.169,1.06E-07,2.60E-11,1,0,0,0,0
49,hex_BW_49.png,planar_crystal,3,83,75,0,1.912157856,0.001,4.00E-05,6.50E-07,5.91E-08,1.42E-06,,,,,,9.09E-02,,6.49E-07,8.25E-08,9.98E-01,1.27E-01,0,4.58E-01,0.299,0.163,0.169,1.06E-07,2.60E-11,1,0,0,0,0
50,hex_BW_50.png,planar_crystal,3,83,88,0,1.912969118,0.001,4.00E-05,6.50E-07,4.27E-08,1.42E-06,,,,,,6.57E-02,,6.49E-07,8.25E-08,9.98E-01,1.27E-01,0,4.58E-01,0.299,0.163,0.169,1.06E-07,2.60E-11,1,0,0,0,0
51,dend_BW_51.png,planar_crystal,3,45,0,0,1.86949154,0.001,4.00E-05,6.50E-07,4.84E-07,1.42E-06,,,,,,7.45E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0.6594,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
52,dend_BW_52.png,planar_crystal,3,45,15,0,1.869996403,0.001,4.00E-05,6.50E-07,4.72E-07,1.42E-06,,,,,,7.26E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0.6594,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
53,dend_BW_53.png,planar_crystal,3,45,30,0,1.871628765,0.001,4.00E-05,6.50E-07,4.29E-07,1.42E-06,,,,,,6.60E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0.6594,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
54,dend_BW_54.png,planar_crystal,3,45,45,0,1.879926868,0.001,4.00E-05,6.50E-07,3.56E-07,1.42E-06,,,,,,5.48E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0.6594,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
55,dend_BW_55.png,planar_crystal,3,45,60,0,1.869207041,0.001,4.00E-05,6.50E-07,2.64E-07,1.42E-06,,,,,,4.06E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0.6594,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
56,dend_BW_56.png,planar_crystal,3,45,75,0,1.869439781,0.001,4.00E-05,6.50E-07,1.58E-07,1.42E-06,,,,,,2.43E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0.6594,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
57,dend_BW_57.png,planar_crystal,3,45,90,0,1.908922632,0.001,4.00E-05,6.50E-07,4.00E-08,1.42E-06,,,,,,6.15E-02,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0.6594,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
58,dend_BW_58.png,planar_crystal,3,30,0,0,1.863468524,0.001,4.00E-05,6.50E-07,5.80E-07,1.42E-06,,,,,,8.92E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0.6594,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
59,dend_BW_59.png,planar_crystal,3,30,15,0,1.866554447,0.001,4.00E-05,6.50E-07,5.65E-07,1.42E-06,,,,,,8.69E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0.6594,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
60,dend_BW_60.png,planar_crystal,3,30,30,0,1.865150765,0.001,4.00E-05,6.50E-07,5.12E-07,1.42E-06,,,,,,7.88E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0.6594,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
61,dend_BW_61.png,planar_crystal,3,30,45,0,1.872830213,0.001,4.00E-05,6.50E-07,4.24E-07,1.42E-06,,,,,,6.52E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0.6594,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
62,dend_BW_62.png,planar_crystal,3,30,60,0,1.868391412,0.001,4.00E-05,6.50E-07,3.16E-07,1.42E-06,,,,,,4.86E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0.6594,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
63,dend_BW_63.png,planar_crystal,3,30,75,0,1.884532287,0.001,4.00E-05,6.50E-07,1.84E-07,1.42E-06,,,,,,2.83E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0.6594,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
64,dend_BW_64.png,planar_crystal,3,30,90,0,1.912544954,0.001,4.00E-05,6.50E-07,4.00E-08,1.42E-06,,,,,,6.15E-02,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0.6594,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
65,dend_BW_65.png,planar_crystal,3,15,0,0,1.879737207,0.001,4.00E-05,6.50E-07,6.36E-07,1.42E-06,,,,,,9.78E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0.6594,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
66,dend_BW_66.png,planar_crystal,3,15,15,0,1.87688546,0.001,4.00E-05,6.50E-07,6.20E-07,1.42E-06,,,,,,9.54E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0.6594,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
67,dend_BW_67.png,planar_crystal,3,15,30,0,1.878713755,0.001,4.00E-05,6.50E-07,5.62E-07,1.42E-06,,,,,,8.65E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0.6594,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
68,dend_BW_68.png,planar_crystal,3,15,45,0,1.878294948,0.001,4.00E-05,6.50E-07,4.72E-07,1.42E-06,,,,,,7.26E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0.6594,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
69,dend_BW_69.png,planar_crystal,3,15,60,0,1.88486281,0.001,4.00E-05,6.50E-07,3.48E-07,1.42E-06,,,,,,5.35E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0.6594,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
70,dend_BW_70.png,planar_crystal,3,15,75,0,1.890017662,0.001,4.00E-05,6.50E-07,2.01E-07,1.42E-06,,,,,,3.09E-01,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0.6594,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
71,dend_BW_71.png,planar_crystal,3,15,90,0,1.913430378,0.001,4.00E-05,6.50E-07,4.00E-08,1.42E-06,,,,,,6.15E-02,,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0.6594,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
72,dend_BW_72.png,planar_crystal,3,0,0,0,1.893353522,0.001,4.00E-05,6.50E-07,6.50E-07,1.42E-06,,,,,,1.00E+00,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0.6594,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
73,dend_BW_73.png,planar_crystal,3,0,15,0,1.878658382,0.001,4.00E-05,6.50E-07,6.38E-07,1.42E-06,,,,,,9.82E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0.6594,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
74,dend_BW_74.png,planar_crystal,3,0,30,0,1.873667946,0.001,4.00E-05,6.50E-07,5.83E-07,1.42E-06,,,,,,8.97E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0.6594,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
75,dend_BW_75.png,planar_crystal,3,0,45,0,1.877694251,0.001,4.00E-05,6.50E-07,4.88E-07,1.42E-06,,,,,,7.51E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0.6594,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
76,dend_BW_76.png,planar_crystal,3,0,60,0,1.881510138,0.001,4.00E-05,6.50E-07,3.59E-07,1.42E-06,,,,,,5.52E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0.6594,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
77,dend_BW_77.png,planar_crystal,3,0,75,0,1.884879259,0.001,4.00E-05,6.50E-07,2.07E-07,1.42E-06,,,,,,3.18E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0.6594,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
78,dend_BW_78.png,planar_crystal,3,0,87,0,1.907167425,0.001,4.00E-05,6.50E-07,7.39E-08,1.42E-06,,,,,,1.14E-01,,3.46E-08,4.28E-07,5.32E-02,6.58E-01,0.6594,4.58E-01,0.299,3.06,0.377,1.06E-07,2.60E-11,1,0,0,0,0
79,dend_BW_79.png,planar_crystal,3,60,0,0,1.870975422,0.001,4.00E-05,6.50E-07,3.55E-07,1.42E-06,,,,,,5.46E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0.6594,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
80,dend_BW_80.png,planar_crystal,3,60,11,0,1.870729627,0.001,4.00E-05,6.50E-07,3.52E-07,1.42E-06,,,,,,5.42E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0.6594,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
81,dend_BW_81.png,planar_crystal,3,60,23,0,1.877326084,0.001,4.00E-05,6.50E-07,3.34E-07,1.42E-06,,,,,,5.14E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0.6594,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
82,dend_BW_82.png,planar_crystal,3,60,36,0,1.882886972,0.001,4.00E-05,6.50E-07,2.99E-07,1.42E-06,,,,,,4.60E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0.6594,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
83,dend_BW_83.png,planar_crystal,3,60,42,0,1.877247783,0.001,4.00E-05,6.50E-07,2.77E-07,1.42E-06,,,,,,4.26E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0.6594,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
84,dend_BW_84.png,planar_crystal,3,60,51,0,1.873772472,0.001,4.00E-05,6.50E-07,2.39E-07,1.42E-06,,,,,,3.68E-01,,5.80E-07,2.45E-07,8.92E-01,3.77E-01,0.6594,4.58E-01,0.299,0.183,0.228,1.06E-07,2.60E-11,1,0,0,0,0
