idx,col_name,img_name,snowflake_class_name,shape,snowflake_class_id,x_rot,y_rot,z_rot,A_char,proj_CH_area,CH_SA,Dmax,Dsemimin,A_cross,A_length,A_crat,A_lrat,Df,porosity,sar,sph,cross_sph,length_sph,Aeq,VCH,V,planar_crystal,aggregate,graupel,columnar_crystal,combo
11,col12,col_BW_12,columnar_crystal,column1,,0,90,40,7.05E-06,7.05E-06,3.13E-05,,,6.06E-06,8.56E-06,8.60E-01,1.21E+00,1.89100208,0,2.25E-01,5.38E-01,6.94E-01,5.94E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
12,col13,col_BW_13,columnar_crystal,column1,,0,5,60,1.00E-05,1.00E-05,3.13E-05,,,7.82E-06,7.73E-06,7.82E-01,7.72E-01,1.893599589,0,3.20E-01,5.38E-01,5.38E-01,5.31E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
13,col14,col_BW_14,columnar_crystal,column1,,0,25,60,9.30E-06,9.30E-06,3.13E-05,,,7.82E-06,7.73E-06,8.41E-01,8.31E-01,1.892144711,0,2.97E-01,5.38E-01,5.38E-01,5.31E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
14,col15,col_BW_15,columnar_crystal,column1,,0,45,60,7.47E-06,7.47E-06,3.13E-05,,,7.82E-06,7.73E-06,1.05E+00,1.03E+00,1.881222081,0,2.39E-01,5.38E-01,5.38E-01,5.31E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
15,col16,col_BW_16,columnar_crystal,column1,,0,65,60,6.55E-06,6.55E-06,3.13E-05,,,7.82E-06,7.73E-06,1.20E+00,1.18E+00,1.868112605,0,2.09E-01,5.38E-01,5.38E-01,5.31E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
16,col17,col_BW_17,columnar_crystal,column1,,0,85,60,5.31E-06,5.31E-06,3.13E-05,,,7.82E-06,7.73E-06,1.47E+00,1.46E+00,1.875135453,0,1.70E-01,5.38E-01,5.38E-01,5.31E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
17,col18,col_BW_18,columnar_crystal,column1,,0,0,80,1.00E-05,1.00E-05,3.13E-05,,,8.64E-06,6.74E-06,8.64E-01,6.74E-01,1.895689971,0,3.19E-01,5.38E-01,4.87E-01,4.72E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
18,col19,col_BW_19,columnar_crystal,column1,,0,18,80,9.71E-06,9.71E-06,3.13E-05,,,8.64E-06,6.74E-06,8.90E-01,6.94E-01,1.894483422,0,3.10E-01,5.38E-01,4.87E-01,4.72E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
19,col20,col_BW_20,columnar_crystal,column1,,0,36,80,8.47E-06,8.47E-06,3.13E-05,,,8.64E-06,6.74E-06,1.02E+00,7.96E-01,1.88967959,0,2.70E-01,5.38E-01,4.87E-01,4.72E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
20,col21,col_BW_21,columnar_crystal,column1,,0,54,80,6.40E-06,6.40E-06,3.13E-05,,,8.64E-06,6.74E-06,1.35E+00,1.05E+00,1.877647338,0,2.04E-01,5.38E-01,4.87E-01,4.72E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
21,col22,col_BW_22,columnar_crystal,column1,,0,72,80,3.70E-06,3.70E-06,3.13E-05,,,8.64E-06,6.74E-06,2.34E+00,1.82E+00,,0,1.18E-01,5.38E-01,4.87E-01,4.72E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
22,col23,col_BW_23,columnar_crystal,column1,,0,90,80,2.14E-06,2.14E-06,3.13E-05,,,8.64E-06,6.74E-06,4.03E+00,3.14E+00,,0,6.85E-02,5.38E-01,4.87E-01,4.72E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
23,col24,col_BW_24,columnar_crystal,column2,,0,0,0,5.00E-06,5.00E-06,1.53E-05,,,1.62E-07,4.67E-06,3.25E-02,9.33E-01,1.908223951,0,3.26E-01,4.36E-01,1.03E+01,5.57E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
24,col25,col_BW_25,columnar_crystal,column2,,0,30,0,4.33E-06,4.33E-06,1.53E-05,,,1.62E-07,4.67E-06,3.75E-02,1.08E+00,1.911018076,0,2.83E-01,4.36E-01,1.03E+01,5.57E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1,0.00E+00
25,col26,col_BW_26,columnar_crystal,column2,,0,0,20,5.00E-06,5.00E-06,1.53E-05,,,1.63E-06,4.72E-06,3.27E-01,9.44E-01,1.909566264,0,3.26E-01,4.36E-01,1.02E+00,5.68E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
26,col27,col_BW_27,columnar_crystal,column2,,0,20,20,4.72E-06,4.72E-06,1.53E-05,,,1.63E-06,4.72E-06,3.46E-01,1.00E+00,1.91015353,0,3.08E-01,4.36E-01,1.02E+00,5.68E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1,0.00E+00
27,col28,col_BW_28,columnar_crystal,column2,,0,40,20,4.57E-06,4.57E-06,1.53E-05,,,1.63E-06,4.72E-06,3.58E-01,1.03E+00,1.91025737,0,2.98E-01,4.36E-01,1.02E+00,5.68E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
28,col29,col_BW_29,columnar_crystal,column2,,0,60,20,4.82E-06,4.82E-06,1.53E-05,,,1.63E-06,4.72E-06,3.39E-01,9.79E-01,1.909081433,0,3.15E-01,4.36E-01,1.02E+00,5.68E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1,0.00E+00
29,col30,col_BW_30,columnar_crystal,column2,,0,80,20,4.50E-06,4.50E-06,1.53E-05,,,1.63E-06,4.72E-06,3.63E-01,1.05E+00,1.909451024,0,2.93E-01,4.36E-01,1.02E+00,5.68E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
30,col31,col_BW_31,columnar_crystal,column2,,0,5,45,4.99E-06,4.99E-06,1.53E-05,,,3.18E-06,4.18E-06,6.36E-01,8.38E-01,1.903988872,0,3.26E-01,4.36E-01,5.26E-01,4.80E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1,0.00E+00
31,col32,col_BW_32,columnar_crystal,column2,,0,25,45,4.58E-06,4.58E-06,1.53E-05,,,3.18E-06,4.18E-06,6.94E-01,9.13E-01,1.90472783,0,2.99E-01,4.36E-01,5.26E-01,4.80E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
32,col33,col_BW_33,columnar_crystal,column2,,0,45,45,4.01E-06,4.01E-06,1.53E-05,,,3.18E-06,4.18E-06,7.91E-01,1.04E+00,1.906586996,0,2.62E-01,4.36E-01,5.26E-01,4.80E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1,0.00E+00
33,col34,col_BW_34,columnar_crystal,column2,,0,65,45,3.94E-06,3.94E-06,1.53E-05,,,3.18E-06,4.18E-06,8.07E-01,1.06E+00,1.906372596,0,2.57E-01,4.36E-01,5.26E-01,4.80E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
34,col35,col_BW_35,columnar_crystal,column2,,0,85,45,3.38E-06,3.38E-06,1.53E-05,,,3.18E-06,4.18E-06,9.39E-01,1.24E+00,,0,2.21E-01,4.36E-01,5.26E-01,4.80E-01,1.67E-06,1.62E-09,1.62E-09,0,0.00E+00,0.00E+00,1,0.00E+00
35,col36,col_BW_36,columnar_crystal,column3,,0,0,0,2.00E-05,2.00E-05,6.52E-05,,,2.60E-06,1.87E-05,1.30E-01,9.33E-01,1.859557369,0,3.07E-01,6.51E-01,4.08E+00,7.61E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
36,col37,col_BW_37,columnar_crystal,column3,,0,0,20,2.00E-05,2.00E-05,6.52E-05,,,8.37E-06,1.90E-05,4.18E-01,9.48E-01,1.866339252,0,3.07E-01,6.51E-01,1.27E+00,7.78E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1,0.00E+00
37,col38,col_BW_38,columnar_crystal,column3,,0,18,20,1.93E-05,1.93E-05,6.52E-05,,,8.37E-06,1.90E-05,4.34E-01,9.83E-01,1.870482576,0,2.96E-01,6.51E-01,1.27E+00,7.78E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
38,col39,col_BW_39,columnar_crystal,column3,,0,36,20,1.82E-05,1.82E-05,6.52E-05,,,8.37E-06,1.90E-05,4.60E-01,1.04E+00,1.87201237,0,2.79E-01,6.51E-01,1.27E+00,7.78E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1,0.00E+00
39,col40,col_BW_40,columnar_crystal,column3,,0,54,20,1.98E-05,1.98E-05,6.52E-05,,,8.37E-06,1.90E-05,4.23E-01,9.60E-01,1.867458272,0,3.03E-01,6.51E-01,1.27E+00,7.78E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
40,col41,col_BW_41,columnar_crystal,column3,,0,72,20,1.94E-05,1.94E-05,6.52E-05,,,8.37E-06,1.90E-05,4.31E-01,9.77E-01,,0,2.98E-01,6.51E-01,1.27E+00,7.78E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1,0.00E+00
41,col42,col_BW_42,columnar_crystal,column3,,0,90,20,1.72E-05,1.72E-05,6.52E-05,,,8.37E-06,1.90E-05,4.87E-01,1.11E+00,,0,2.63E-01,6.51E-01,1.27E+00,7.78E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
42,col43,col_BW_43,columnar_crystal,column3,,0,0,50,2.00E-05,2.00E-05,6.52E-05,,,1.49E-05,1.70E-05,7.47E-01,8.51E-01,1.863900058,0,3.07E-01,6.51E-01,7.10E-01,6.81E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1,0.00E+00
43,col44,col_BW_44,columnar_crystal,column3,,0,18,50,1.96E-05,1.96E-05,6.52E-05,,,1.49E-05,1.70E-05,7.61E-01,8.67E-01,1.852447087,0,3.01E-01,6.51E-01,7.10E-01,6.81E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
44,col45,col_BW_45,columnar_crystal,column3,,0,36,50,1.74E-05,1.74E-05,6.52E-05,,,1.49E-05,1.70E-05,8.61E-01,9.82E-01,1.842099655,0,2.66E-01,6.51E-01,7.10E-01,6.81E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1,0.00E+00
45,col46,col_BW_46,columnar_crystal,column3,,0,54,50,1.65E-05,1.65E-05,6.52E-05,,,1.49E-05,1.70E-05,9.06E-01,1.03E+00,1.848692396,0,2.53E-01,6.51E-01,7.10E-01,6.81E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
46,col47,col_BW_47,columnar_crystal,column3,,0,72,50,1.56E-05,1.56E-05,6.52E-05,,,1.49E-05,1.70E-05,9.59E-01,1.09E+00,1.850062661,0,2.39E-01,6.51E-01,7.10E-01,6.81E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1,0.00E+00
47,col48,col_BW_48,columnar_crystal,column3,,0,90,50,1.31E-05,1.31E-05,6.52E-05,,,1.49E-05,1.70E-05,1.14E+00,1.30E+00,,0,2.01E-01,6.51E-01,7.10E-01,6.81E-01,1.06E-05,2.60E-08,2.60E-08,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
